datetime,d13C,d16O
1927-01-01,-1.0303690006421269,25.702586743516093
1927-05-01,-1.1333333333333333,25.733333333333334
1927-09-01,-1.0666666666666667,25.766666666666666
1928-01-01,-1.0,25.633333333333336
1928-05-01,-0.9,25.75
1928-09-01,-0.7318992622139505,25.82341686886512
1929-01-01,-0.844333496311673,25.726284499583063
1929-05-01,-0.6096438222307721,26.144485396900496
1929-09-01,-0.9474752740348892,25.950890291252207
1930-01-01,-0.8656484615013692,25.857809052052854
1930-05-01,-1.2908107291039572,25.793715744883965
1930-09-01,-1.2294535954746049,25.939341162130646
1931-01-01,-0.7408704480651342,25.90898465487048
1931-05-01,-1.1812061891281416,25.867062364387895
1931-09-01,-0.9974920392860955,25.92729730824816
1932-01-01,-0.9453982527754194,25.850452837736643
1932-05-01,-1.1284482632100725,25.888464745336744
1932-09-01,-0.6584116252793483,25.741161117204737
1933-01-01,-1.1640879688591956,25.762606047748537
1933-05-01,-1.0377034723727174,25.896186631459738
1933-09-01,-0.5713800025946965,25.88278530508147
1934-01-01,-0.8704577930920315,25.879335946896976
1934-05-01,-1.233213702360985,26.098875855831878
1934-09-01,-0.7622919701579266,25.803080084558093
1935-01-01,-1.0112486243406507,25.844826690604126
1935-05-01,-1.3286237743412703,26.049958973607488
1935-09-01,-1.3166781305202089,25.82673298967015
1936-01-01,-1.0311740881200449,25.84414223971379
1936-05-01,-1.4739588773418828,25.573398644575494
1936-09-01,-1.4320845473763366,25.516143315290112
1937-01-01,-1.2590072160791879,25.48900251897587
1937-05-01,-1.8630309144630668,25.617938567852452
1937-09-01,-1.420098273963431,25.87234024488178
1938-01-01,-1.0746063368475065,25.87660320487605
1938-05-01,-1.0797570096209732,25.848147224420195
1938-09-01,-1.74197268943634,25.74573528029944
1939-01-01,-1.5104860768113364,25.646185392394546
1939-05-01,-1.01012257363025,25.790011676921576
1939-09-01,-1.1549107010984505,25.781328522627827
1940-01-01,-1.2579252526367848,25.635624080039815
1940-05-01,-1.8916877145431963,25.59196943651654
1940-09-01,-1.7788986725358853,25.71642749156712
1941-01-01,-1.3311365412071512,25.79751385953359
1941-05-01,-1.3468089958675382,25.550328306442626
1941-09-01,-1.681326036168883,25.550390024581123
1942-01-01,-1.299537934067665,25.4441980893911
1942-05-01,-1.5959685577174318,25.76059171792168
1942-09-01,-1.4984752683152653,25.881807611395555
1943-01-01,-1.2670187301375644,25.895013823552926
1943-05-01,-1.1165512873823293,25.87740945928839
1943-09-01,-1.5380860471545326,25.852184374399837
1944-01-01,-1.6048591697075418,25.90757117887866
1944-05-01,-1.0617692019267577,25.667743146307906
1944-09-01,-1.6283047855736972,25.189334505976092
1945-01-01,-1.5929005846840236,25.59201743951314
1945-05-01,-1.6624735817912317,25.756273897359858
1945-09-01,-1.3314201364158653,25.743298393482075
1946-01-01,-1.4342243944681803,25.514134700105704
1946-05-01,-1.8657226407314356,25.53319956370566
1946-09-01,-1.4941764182178483,25.912856243494495
1947-01-01,-1.1099570664322194,25.455024071329145
1947-05-01,-1.3692349999321505,25.65960298308103
1947-09-01,-0.4441211356161653,25.674878110837792
1948-01-01,-1.1072566764200937,26.00688690450712
1948-05-01,-0.9458137690411808,25.55054609601929
1948-09-01,-1.0670825622019118,25.457596771346935
1949-01-01,-0.9137910330668815,25.635738458668182
1949-05-01,-0.648167898601114,25.723912675422824
1949-09-01,-1.312927455983709,25.098596239634656
1950-01-01,-1.102615049013643,25.532088030749378
1950-05-01,-1.2351665399309677,25.6931111046255
1950-09-01,-1.191025216301212,25.573886803843493
1951-01-01,-1.2578412263004175,25.51835112658286
1951-05-01,-1.3515084507558588,25.59489419052387
1951-09-01,-1.4578279960348015,25.66886680828962
1952-01-01,-1.3017655847183012,25.502375272141865
1952-05-01,-1.4923627741761163,25.68552212501255
1952-09-01,-1.1593272998117743,25.677136892141867
1953-01-01,-1.3731624033559975,25.57492649759512
1953-05-01,-1.4784705340679603,25.841141030107437
1953-09-01,-1.2142771038711737,25.65952643118834
1954-01-01,-1.2855377786512403,25.669001637056326
1954-05-01,-1.417984887201122,25.79962875112882
1954-09-01,-1.0660718856739226,25.73767317911055
1955-01-01,-0.5680272396495608,25.837114940789444
1955-05-01,-1.3598123522500556,25.802352311488498
1955-09-01,-0.9022118375364651,25.573699976519585
1956-01-01,-0.9208634961042123,25.514311541636165
1956-05-01,-1.290606009327325,25.62780769306157
1956-09-01,-0.7471042521716749,25.666066269172106
1957-01-01,-1.0888116025184338,25.417147771131066
1957-05-01,-1.5080586298125507,25.61137502165262
1957-09-01,-1.1484180335309966,25.64076836762838
1958-01-01,-0.9966230753311005,25.39644368955709
1958-05-01,-1.1263897093295623,26.086797093521422
1958-09-01,-0.9088814339605754,25.667519483342218
1959-01-01,-0.5342304832122143,25.667669420117537
1959-05-01,,
1959-09-01,-0.9133465010461259,25.767894046357085
1960-01-01,-0.9499409170457415,25.550498861361287
1960-05-01,-0.8956839371669902,25.626020260422234
1960-09-01,-1.2430407800853374,25.720307456886797
1961-01-01,-0.8297006786605966,25.5505652227294
1961-05-01,-0.707996511451514,25.672015008653933
1961-09-01,-1.0595549109002014,25.80509283640845
1962-01-01,-0.7373702534045309,25.642275219746402
1962-05-01,-0.6508052431427949,25.51923550525429
1962-09-01,-0.6600915281671533,25.724096042361023
1963-01-01,-0.6245239161542818,25.842636905157057
1963-05-01,-0.8511498957835644,25.719265633303213
1963-09-01,-0.6915508804935468,25.745846105499044
1964-01-01,-0.4650505536326849,25.676421137385802
1964-05-01,-1.0424267416460318,25.97377744665652
1964-09-01,-0.30123196888866527,25.94112216501136
1965-01-01,-0.17849145902486885,25.60751732904631
1965-05-01,-0.5668197003839093,25.827160236615036
1965-09-01,-0.35035250466453066,25.938142389895848
1966-01-01,0.10084800143758245,25.854372056563633
1966-05-01,-0.4168288290785175,25.764579720133916
1966-09-01,-0.2045031243645966,25.78961541942995
1967-01-01,-0.3084687703940189,25.591645487538422
1967-05-01,-0.5171226668783316,25.81215882523938
1967-09-01,-0.4187282161233476,25.81391241191779
1968-01-01,-0.4659286584094262,25.713814271443777
1968-05-01,-0.6464429170601477,25.703763850559223
1968-09-01,-0.7948703844332681,25.96945397857616
1969-01-01,-0.38204858384375534,25.676376563835294
1969-05-01,-0.847262639519357,25.509202464728048
1969-09-01,-1.0380427832204828,25.695003068893556
1970-01-01,-0.7765265280115295,25.553288533610253
1970-05-01,-0.9873020943855583,25.498699156611995
1970-09-01,-1.0382262625242098,25.63073707345393
1971-01-01,-1.2092108596670437,25.795491726892198
1971-05-01,-1.1670638336899268,25.588171744344486
1971-09-01,-1.0021298899045061,25.877747628972564
1972-01-01,-0.975,25.725
1972-05-01,-1.525,25.725
1972-09-01,-0.9666666666666667,25.933333333333334
1973-01-01,-0.9857142857142858,25.714285714285715
1973-05-01,-1.34,25.839999999999996
1973-09-01,-1.16,25.9
1974-01-01,-1.525,25.5125
1974-05-01,-1.7666666666666666,25.833333333333332
1974-09-01,-1.6666666666666667,25.400000000000002
1975-01-01,-1.725,25.4
1975-05-01,-1.65,25.625
1975-09-01,-1.1333333333333335,25.366666666666664
1976-01-01,-1.1,25.549999999999997
1976-05-01,-1.05,25.85
1976-09-01,-1.4,25.6
1977-01-01,-1.725,25.525
1977-05-01,-1.7,25.95
1977-09-01,-1.4,25.65
1978-01-01,-1.5666666666666667,25.366666666666664
1978-05-01,-2.1666666666666665,25.7
1978-09-01,-1.65,25.75
1979-01-01,-1.5666666666666667,25.366666666666664
1979-05-01,-1.4000000000000001,25.599999999999998
1979-09-01,-1.35,25.8
1980-01-01,-1.5,25.3
1980-05-01,-1.85,25.549999999999997
1980-09-01,-1.65,25.95
1981-01-01,-1.225,25.6
1981-05-01,-1.5333333333333332,25.733333333333334
1981-09-01,-1.3,25.46666666666667
1982-01-01,-1.65,25.65
1982-05-01,-1.4,25.4
1982-09-01,-1.7,25.2
1983-01-01,-1.6000000000000003,25.400000000000002
1983-05-01,-1.4500000000000002,25.4
1983-09-01,-1.45,25.299999999999997
1984-01-01,-1.175,25.6
1984-05-01,-1.1,25.55
1984-09-01,-1.1,25.700000000000003
1985-01-01,-1.25,25.5
1985-05-01,-1.0,25.3
1985-09-01,-1.4,25.3
1986-01-01,-1.4666666666666668,25.46666666666667
1986-05-01,-1.15,25.4
1986-09-01,-1.2000000000000002,25.45
1987-01-01,-1.2000000000000002,25.549999999999997
1987-05-01,-0.7,25.7
1987-09-01,-1.1,25.6
1988-01-01,-1.45,25.549999999999997
1988-05-01,-1.2,25.8
1988-09-01,-1.6,25.55
1989-01-01,-1.4333333333333333,25.516666666666666
1989-05-01,-1.5,25.55
1989-09-01,-1.0333333333333334,25.833333333333332
1990-01-01,-1.05,25.75
1990-05-01,-1.6,25.625
1990-09-01,-1.48,25.76
1991-01-01,-1.575,25.8
1991-05-01,-1.85,25.3
1991-09-01,-2.0,25.5
1992-01-01,-1.8333333333333333,25.599999999999998
1992-05-01,-1.6,25.25
1992-09-01,-1.85,25.55
1993-01-01,-1.8,25.5
1993-05-01,-1.5,25.35
1993-09-01,-2.0,25.5
1994-01-01,-1.5333333333333332,25.7
1994-05-01,-1.5999999999999999,25.599999999999998
1994-09-01,-2.2,25.9
1995-01-01,-1.5999999999999999,25.766666666666666
1995-05-01,-1.6,25.6
1995-09-01,-1.4,25.6
1996-01-01,-1.675,25.5
1996-05-01,-1.65,25.4
1996-09-01,-2.0,25.5
1997-01-01,-1.5,25.53333333333333
1997-05-01,-1.9666666666666668,25.433333333333334
1997-09-01,-1.95,25.6
1998-01-01,-1.9,25.35
1998-05-01,-2.2,25.2
1998-09-01,-2.8,25.5
1999-01-01,-2.05,25.525
1999-05-01,-2.2666666666666666,25.266666666666666
1999-09-01,-2.5,25.5
2000-01-01,-2.05,25.65
2000-05-01,-1.5,25.6
2000-09-01,-1.8,25.4
2001-01-01,-1.95,25.35
2001-05-01,-2.2,25.4
2001-09-01,-2.2,25.6
2002-01-01,-1.8333333333333333,25.433333333333334
2002-05-01,-1.7,25.1
2002-09-01,-2.1,25.4
2003-01-01,-2.733333333333333,25.666666666666668
2003-05-01,-2.0,25.5
2003-09-01,-2.3,25.2
2004-01-01,-2.5,25.35
2004-05-01,-3.1,25.4
2004-09-01,-2.7,25.7
2005-01-01,-2.4,25.5
2005-05-01,-1.7,25.4
2005-09-01,-2.3,25.2
2006-01-01,-2.55,25.2
2006-05-01,-2.4,25.4
2006-09-01,-2.9,25.6
